file_name,purpose,voluntary_participation,withdrawal_rights,study_procedures,risks,benefits,alternatives,confidentiality,compensation,expenses_payments,contact_info,consent_statement,data_sharing,future_use,ethics_approval
AbbVie.pdf,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Aclaris Therapeutics, Inc..pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
"Alexion Pharmaceuticals, Inc..pdf",1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
B. Braun Medical Inc._MASTER.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
B. Braun Medical Inc._PK.pdf,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1
"Cellphire Therapeutics, Inc..pdf",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Cellphire.pdf,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"Criterium, Inc._Addendum to IC.pdf",0,0,0,0,1,1,1,0,0,0,1,1,0,0,1
"Criterium, Inc._MAIN.pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
Haihe.pdf,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Heart Metabolics Limited.pdf,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0
ICF_002.pdf,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"InterveXion Therapeutics, LLC.pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
InterveXion Therapeutics.pdf,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1
Leidos Life Sciences.pdf,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1
Lykos Therapeutics.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
MANA RBM.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
"Midland Research Group, Inc..pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
Mirati Therapeutics Inc.pdf,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1
Navidea Biopharmaceuticals.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
Navidea Biopharmaceuticals_others 1.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
"OncoMed Pharmaceuticals, Inc..pdf",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Puma_Breast.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
Puma_Neratinib_Monotherapy.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
Red Hill Biopharma.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
RedHill Biopharma Limited.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
Regeneron Pharmaceuticals.pdf,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"RTOG Foundation, Inc. 1.pdf",1,1,0,0,1,1,1,1,1,1,1,1,0,1,1
"RTOG Foundation, Inc. 2.pdf",1,1,0,0,1,1,0,1,1,1,1,1,0,0,1
"USWM, LLC.pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
Windtree Therapeutics.pdf,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Xenetic.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
Xenikos-all-participants.pdf,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Xenikos-Pregnacy.pdf,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"Aclaris Therapeutics, Inc..pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
"Aclaris Therapeutics, Inc._Common_wart.pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
"Aclaris Therapeutics, Inc._PCF Photography.pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
"ARCA Biopharma, Inc..pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
"Aronora, Inc..pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
AryoGen Pharmed Co._UC.pdf,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0
AryoGen Pharmed Co_edited.pdf,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0
Bavarian Nordic.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
"BioMimetix JV, LLC.pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,0,0
"Cellular Sciences, inc.--2.pdf",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
"Cellular Sciences, inc.pdf",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Cinnagen.pdf,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0
"Cordgenics, LLC.pdf",1,1,1,0,1,1,1,1,1,0,1,1,0,1,0
"Curis, Inc..pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
"EpicentRx, Inc.-Carcinoma.pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
"EpicentRx, Inc.-prevlar.pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
"EpicentRx, Inc..pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
Fate Therapeutics.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
Field Trip Health.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0
GBG Forschungs GmbH.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
HALO Diagnostics.pdf,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
Hepatera Ltd..pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
"HiberCell, Inc..pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
"Matinas BioPharma Nanotechnologies, Inc..pdf",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
Minnesota HealthSolutions.pdf,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0
"ModernaTX, Inc..pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
"NFlection Therapeutics, Inc..pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
NPO Petrovax.pdf,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0
"OncoMed Pharmaceuticals, Inc.-edited 1.pdf",1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
"OncoMed Pharmaceuticals, Inc._edited.pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
Privo Technologies.pdf,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1
"Provided by Aclaris Therapeutics, Inc._age12-17.pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
"Provided by Aclaris Therapeutics, Inc._age7-11.pdf",0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
"Provided by ModernaTX, Inc..pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
"Pulmotect, Inc.pdf",1,1,1,0,1,1,1,1,1,0,1,1,0,0,1
"Puma Biotechnology, Inc..pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
"Puma Biotechnology, Inc._loperamide.pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
Qualitas Health.pdf,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0
RECORDATI GROUP.pdf,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
Regeneron Pharmaceuticals.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
"SanBio, Inc.pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,0,0
Shionogi Inc..pdf,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Suzhou Kintor Pharmaceutical Inc.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
"The Emmes Company, LLC.pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,0,0
Treos Bio Zrt.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
United Therapeutics.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
UroGen Pharma Ltd..pdf,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
ValiRx Plc.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
Windtree Therapeutics.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
Woebot Health.pdf,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
